MMMM_YY,Employee_ID,Age,Gender,City,Education_Level,Department,Income,Date_Of_Joining,LastWorkingDate,Joining_Designation,Grade,Total_Business_Value,Quarterly_Rating,Overtime_Flag,Attrition,Tenure_Months,Age_At_Joining,Rating_Increased,Income_Increased,Grade_Change,Overtime_Ratio,Age_scaled,Income_scaled,Tenure_Months_scaled,Total_Business_Value_scaled
01-03-2021,10002,42,0,KOL,1,Operations,66613,21-02-2018,,Analyst,1,108524,3,1,0,37,38.91666667,0,0,0,0.263157895,0.330458466,0.6469191,0.731276173,0.628764013
01-04-2021,10002,42,0,KOL,1,Operations,66613,21-02-2018,,Analyst,1,-17125,1,0,0,38,38.83333333,0,0,0,0.256410256,0.330458466,0.6469191,0.803142671,-1.386343506
01-05-2021,10002,42,0,KOL,1,Operations,55703.72842,21-02-2018,,Analyst,1,29089,3,0,0,39,38.75,1,0,0,0.25,0.330458466,-0.015944375,0.87500917,-0.645182184
01-06-2021,10002,42,0,KOL,1,Operations,66613,21-02-2018,,Analyst,1,18603,2,0,0,40,38.66666667,0,1,0,0.243902439,0.330458466,0.6469191,0.946875668,-0.813352384
01-07-2021,10002,42,0,KOL,1,Operations,66613,21-02-2018,,Analyst,1,-343,3,1,0,41,38.58333333,1,0,0,0.238095238,0.330458466,0.6469191,1.018742167,-1.117200621
01-08-2021,10002,42,0,KOL,1,Operations,66613,21-02-2018,,Analyst,1,21676,3,0,0,42,38.5,0,0,0,0.23255814,0.330458466,0.6469191,1.090608665,-0.764068861
01-09-2021,10002,42,0,KOL,1,Operations,66613,21-02-2018,,Analyst,1,20999,1,1,0,43,38.41666667,0,0,0,0.227272727,0.330458466,0.6469191,1.162475163,-0.774926311
01-10-2021,10002,39,0,KOL,1,Operations,66613,21-02-2018,,Analyst,1,19293,3,1,0,44,35.33333333,1,0,0,0.222222222,0.022900059,0.6469191,1.234341662,-0.802286445
01-11-2021,10002,42,0,KOL,1,Operations,66613,21-02-2018,,Analyst,1,15380,3,0,0,45,38.25,0,0,0,0.217391304,0.330458466,0.6469191,1.30620816,-0.865041546
01-12-2021,10002,42,0,KOL,1,Operations,66613,21-02-2018,,Analyst,1,43710,3,0,0,46,38.16666667,0,0,0,0.212765957,0.330458466,0.6469191,1.378074659,-0.410696538
01-01-2022,10002,42,0,KOL,1,Operations,66613,21-02-2018,,Analyst,1,26488,4,1,0,47,38.08333333,1,0,0,0.208333333,0.330458466,0.6469191,1.449941157,-0.686895964
01-02-2022,10002,42,0,KOL,1,Operations,66613,21-02-2018,,Analyst,1,31961,3,1,0,48,38,0,0,0,0.204081633,0.330458466,0.6469191,1.521807656,-0.599122217
01-03-2022,10002,42,0,KOL,1,Operations,66613,21-02-2018,,Analyst,1,15623,3,0,0,49,37.91666667,0,0,0,0.2,0.330458466,0.6469191,1.593674154,-0.861144411
01-04-2022,10002,42,0,KOL,1,Operations,66613,21-02-2018,,Analyst,1,26106,3,1,0,50,37.83333333,0,0,0,0.196078431,0.330458466,0.6469191,1.665540653,-0.693022324
01-05-2022,10002,42,0,KOL,1,Operations,66613,21-02-2018,,Analyst,2,31835,2,0,0,51,37.75,0,0,1,0.192307692,0.330458466,0.6469191,1.737407151,-0.601142954
01-06-2022,10002,42,0,KOL,1,Operations,66613,21-02-2018,,Analyst,2,27675,3,0,0,52,37.66666667,1,0,1,0.188679245,0.330458466,0.6469191,1.809273649,-0.667859341
01-07-2022,10002,42,0,KOL,1,Operations,66613,21-02-2018,,Analyst,2,61562,2,0,0,53,37.58333333,0,0,1,0.185185185,0.330458466,0.6469191,1.881140148,-0.124393428
01-08-2022,10002,42,0,KOL,1,Operations,66613,21-02-2018,,Analyst,2,47383,3,1,0,54,37.5,1,0,1,0.181818182,0.330458466,0.6469191,1.953006646,-0.351790459
01-09-2022,10002,42,0,KOL,1,Operations,66613,21-02-2018,,Analyst,2,12215,2,1,0,55,37.41666667,0,0,1,0.178571429,0.330458466,0.6469191,2.024873145,-0.915800528
01-10-2022,10002,42,0,KOL,1,Operations,66613,21-02-2018,,Analyst,2,47520,3,0,0,56,37.33333333,1,0,1,0.175438596,0.330458466,0.6469191,2.096739643,-0.349593308
01-11-2022,10002,42,0,KOL,1,Operations,66613,21-02-2018,,Analyst,2,17920,4,0,0,57,37.25,1,0,1,0.172413793,0.330458466,0.6469191,2.168606142,-0.82430606
01-12-2022,10002,42,0,KOL,1,Operations,66613,21-02-2018,,Analyst,2,-2789,2,1,0,58,37.16666667,0,0,1,0.169491525,0.330458466,0.6469191,2.24047264,-1.156428573
01-01-2021,10003,51,1,KOL,2,Retail Banking,65000,18-07-2019,,Manager,2,-15335,2,0,0,18,49.5,0,0,0,0.263157895,1.253133689,0.548910835,-0.634187298,-1.357636214
01-02-2021,10003,51,1,KOL,2,Retail Banking,65000,18-07-2019,,Manager,2,-23240,3,0,0,19,49.41666667,1,0,0,0.25,1.253133689,0.548910835,-0.562320799,-1.484413387
01-03-2021,10003,51,1,KOL,2,Retail Banking,65000,18-07-2019,,Manager,2,125112,2,0,0,20,49.33333333,0,0,0,0.238095238,1.253133689,0.548910835,-0.490454301,0.894795605
01-04-2021,10003,51,1,KOL,2,Retail Banking,65000,18-07-2019,,Manager,2,-3695,1,0,0,21,49.25,0,0,0,0.227272727,1.253133689,0.548910835,-0.418587802,-1.170958632
01-05-2021,10003,51,1,KOL,2,Retail Banking,65000,18-07-2019,,Manager,2,166644,4,0,0,22,49.16666667,1,0,0,0.217391304,1.253133689,0.548910835,-0.346721304,1.560868916
01-06-2021,10003,51,1,KOL,2,Retail Banking,65000,18-07-2019,,Manager,2,211260,3,0,0,23,49.08333333,0,0,0,0.208333333,1.253133689,0.548910835,-0.274854805,2.276402164
01-07-2021,10003,51,1,KOL,2,Retail Banking,65000,18-07-2019,,Manager,2,224841,2,1,0,24,49,0,0,0,0.2,1.253133689,0.548910835,-0.202988307,2.494208714
01-08-2021,10003,39,1,KOL,2,Retail Banking,65000,18-07-2019,,Manager,2,105806,4,0,0,25,36.91666667,1,0,0,0.192307692,0.022900059,0.548910835,-0.131121808,0.585173835
01-09-2021,10003,51,1,KOL,2,Retail Banking,65000,18-07-2019,,Manager,2,53622,4,0,0,26,48.83333333,0,0,0,0.185185185,1.253133689,0.548910835,-0.05925531,-0.251731916
01-10-2021,10003,51,1,KOL,2,Retail Banking,65000,18-07-2019,,Manager,2,83484,2,0,0,27,48.75,0,0,0,0.178571429,1.253133689,0.548910835,0.012611188,0.227182685
01-11-2021,10003,51,1,KOL,2,Retail Banking,65000,18-07-2019,,Manager,2,56606,2,0,0,28,48.66666667,0,0,0,0.172413793,1.253133689,0.548910835,0.084477687,-0.203875739
01-12-2021,10003,51,1,KOL,2,Retail Banking,65000,18-07-2019,,Manager,2,104468,4,0,0,29,48.58333333,1,0,0,0.166666667,1.253133689,0.548910835,0.156344185,0.563715536
01-01-2022,10003,51,1,KOL,2,Retail Banking,65000,18-07-2019,,Manager,2,85778,3,0,0,30,48.5,0,0,0,0.161290323,1.253133689,0.548910835,0.228210684,0.263972923
01-02-2022,10003,51,1,KOL,2,Retail Banking,65000,18-07-2019,,Manager,2,136203,1,1,0,31,48.41666667,0,0,0,0.15625,1.253133689,0.548910835,0.300077182,1.072668549
01-03-2022,10003,51,1,KOL,2,Retail Banking,65000,18-07-2019,,Manager,2,115881,1,0,0,32,48.33333333,0,0,0,0.151515152,1.253133689,0.548910835,0.371943681,0.746752584
01-04-2022,10003,51,1,KOL,2,Retail Banking,65000,18-07-2019,,Manager,2,239236,1,0,0,33,48.25,0,0,0,0.147058824,1.253133689,0.548910835,0.443810179,2.725069865
01-05-2022,10003,51,1,KOL,2,Retail Banking,65000,18-07-2019,,Manager,2,126345,4,0,0,34,48.16666667,1,0,0,0.142857143,1.253133689,0.548910835,0.515676678,0.914569957
01-06-2022,10003,51,1,KOL,2,Retail Banking,65000,18-07-2019,,Manager,2,69221,4,1,0,35,48.08333333,0,0,0,0.138888889,1.253133689,0.548910835,0.587543176,-0.001561503
01-07-2022,10003,51,1,KOL,2,Retail Banking,65000,18-07-2019,,Manager,2,131988,3,1,0,36,48,0,0,0,0.135135135,1.253133689,0.548910835,0.659409674,1.005070094
01-08-2022,10003,51,1,KOL,2,Retail Banking,65000,18-07-2019,,Manager,2,196341,3,0,0,37,47.91666667,0,0,0,0.131578947,1.253133689,0.548910835,0.731276173,2.037137314
01-09-2022,10003,51,1,KOL,2,Retail Banking,65000,18-07-2019,,Manager,2,137323,3,1,0,38,47.83333333,0,0,0,0.128205128,1.253133689,0.548910835,0.803142671,1.090630653
01-10-2022,10003,51,1,KOL,2,Retail Banking,65000,18-07-2019,,Manager,2,62397,1,0,0,39,47.75,0,0,0,0.125,1.253133689,0.548910835,0.87500917,-0.111002038
01-11-2022,10003,39,1,KOL,2,Retail Banking,65000,18-07-2019,,Manager,2,-8697,3,0,0,40,35.66666667,1,0,0,0.12195122,0.022900059,0.548910835,0.946875668,-1.251178672
01-12-2022,10003,51,1,KOL,2,Retail Banking,65000,18-07-2019,,Manager,2,210983,5,0,0,41,47.58333333,1,0,0,0.119047619,1.253133689,0.548910835,1.018742167,2.271959751
01-01-2021,10004,37,0,BLR,2,Corporate Banking,56612,17-05-2019,,Analyst,1,124322,3,0,0,20,35.33333333,0,0,0,0.523809524,-0.182138879,0.03924355,-0.490454301,0.882125907
01-02-2021,10004,37,0,BLR,2,Corporate Banking,56612,17-05-2019,,Analyst,1,62884,3,0,0,21,35.25,0,0,0,0.5,-0.182138879,0.03924355,-0.418587802,-0.10319173
01-03-2021,10004,37,0,BLR,2,Corporate Banking,56612,17-05-2019,,Analyst,1,135465,3,1,0,22,35.16666667,0,0,0,0.47826087,-0.182138879,0.03924355,-0.346721304,1.060832805
01-04-2021,10004,37,0,BLR,2,Corporate Banking,56612,17-05-2019,,Analyst,1,140050,2,1,0,23,35.08333333,0,0,0,0.458333333,-0.182138879,0.03924355,-0.274854805,1.134365169
01-05-2021,10004,37,0,BLR,2,Corporate Banking,56612,17-05-2019,,Analyst,1,5531,3,1,0,24,35,1,0,0,0.44,-0.182138879,0.03924355,-0.202988307,-1.022995799
01-06-2021,10004,37,0,BLR,2,Corporate Banking,58147.27348,17-05-2019,,Analyst,1,95183,2,1,0,25,34.91666667,0,1,0,0.423076923,-0.182138879,0.132529037,-0.131121808,0.414806485
01-07-2021,10004,37,0,BLR,2,Corporate Banking,56612,17-05-2019,,Analyst,1,153393,4,0,0,26,34.83333333,1,0,0,0.407407407,-0.182138879,0.03924355,-0.05925531,1.348354772
01-08-2021,10004,37,0,BLR,2,Corporate Banking,56612,17-05-2019,,Analyst,1,-4526,1,0,0,27,34.75,0,0,0,0.392857143,-0.182138879,0.03924355,0.012611188,-1.184285872
01-09-2021,10004,37,0,BLR,2,Corporate Banking,56612,17-05-2019,,Analyst,1,91732,4,0,0,28,34.66666667,1,0,0,0.379310345,-0.182138879,0.03924355,0.084477687,0.359460752
01-10-2021,10004,37,0,BLR,2,Corporate Banking,56612,17-05-2019,,Analyst,1,199547,3,0,0,29,34.58333333,0,0,0,0.366666667,-0.182138879,0.03924355,0.156344185,2.088553838
01-11-2021,10004,37,0,BLR,2,Corporate Banking,56612,17-05-2019,,Analyst,1,-14164,2,0,0,30,34.5,0,0,0,0.35483871,-0.182138879,0.03924355,0.228210684,-1.338856193
01-12-2021,10004,37,0,BLR,2,Corporate Banking,56612,17-05-2019,,Analyst,1,28839,4,0,0,31,34.41666667,1,0,0,0.34375,-0.182138879,0.03924355,0.300077182,-0.649191583
01-01-2022,10004,37,0,BLR,2,Corporate Banking,56612,17-05-2019,,Analyst,1,92930,3,0,0,32,34.33333333,0,0,0,0.333333333,-0.182138879,0.03924355,0.371943681,0.378673788
01-02-2022,10004,37,0,BLR,2,Corporate Banking,56612,17-05-2019,,Analyst,1,192015,3,1,0,33,34.25,0,0,0,0.323529412,-0.182138879,0.03924355,0.443810179,1.967758687
01-03-2022,10004,37,0,BLR,2,Corporate Banking,56612,17-05-2019,,Analyst,1,95314,2,1,0,34,34.16666667,0,0,0,0.314285714,-0.182138879,0.03924355,0.515676678,0.41690741
01-04-2022,10004,37,0,BLR,2,Corporate Banking,56612,17-05-2019,,Analyst,1,-16114,4,1,0,35,34.08333333,1,0,0,0.305555556,-0.182138879,0.03924355,0.587543176,-1.370129499
01-05-2022,10004,37,0,BLR,2,Corporate Banking,56612,17-05-2019,,Analyst,1,146953,3,0,0,36,34,0,0,0,0.297297297,-0.182138879,0.03924355,0.659409674,1.245072673
01-06-2022,10004,37,0,BLR,2,Corporate Banking,56612,17-05-2019,,Analyst,1,122066,2,1,0,37,33.91666667,0,0,0,0.289473684,-0.182138879,0.03924355,0.731276173,0.845945097
01-07-2022,10004,37,0,BLR,2,Corporate Banking,56612,17-05-2019,,Analyst,1,80505,1,0,0,38,33.83333333,0,0,0,0.282051282,-0.182138879,0.03924355,0.803142671,0.179406696
01-08-2022,10004,37,0,BLR,2,Corporate Banking,56612,17-05-2019,,Analyst,1,61062,3,1,0,39,33.75,1,0,0,0.275,-0.182138879,0.03924355,0.87500917,-0.132412224
01-09-2022,10004,37,0,BLR,2,Corporate Banking,56612,17-05-2019,,Analyst,1,146812,3,0,0,40,33.66666667,0,0,0,0.268292683,-0.182138879,0.03924355,0.946875668,1.242811372
01-10-2022,10004,37,0,BLR,2,Corporate Banking,56612,17-05-2019,,Analyst,1,130227,2,1,0,41,33.58333333,0,0,0,0.261904762,-0.182138879,0.03924355,1.018742167,0.976827893
01-11-2022,10004,37,0,BLR,2,Corporate Banking,56612,17-05-2019,,Analyst,1,107603,2,0,0,42,33.5,0,0,0,0.255813953,-0.182138879,0.03924355,1.090608665,0.61399339
01-12-2022,10004,37,0,BLR,2,Corporate Banking,56612,17-05-2019,,Analyst,1,129418,3,1,0,43,33.41666667,1,0,0,0.25,-0.182138879,0.03924355,1.162475163,0.96385348
01-01-2021,10005,33,0,PUN,2,Corporate Banking,51447,03-04-2019,,Analyst,3,133452,2,0,0,21,31.25,0,0,0,0.454545455,-0.592216756,-0.274589489,-0.418587802,1.02854913
01-02-2021,10005,33,0,PUN,2,Corporate Banking,51447,03-04-2019,,Analyst,3,-2996,3,1,0,22,31.16666667,1,0,0,0.434782609,-0.592216756,-0.274589489,-0.346721304,-1.159748355
01-03-2021,10005,33,0,PUN,2,Corporate Banking,51447,03-04-2019,,Analyst,3,99824,4,1,0,23,31.08333333,1,0,0,0.416666667,-0.592216756,-0.274589489,-0.274854805,0.489236954
01-04-2021,10005,33,0,PUN,2,Corporate Banking,51447,03-04-2019,,Analyst,3,191834,3,0,0,24,31,0,0,0,0.4,-0.592216756,-0.274589489,-0.202988307,1.964855883
01-05-2021,10005,33,0,PUN,2,Corporate Banking,51447,03-04-2019,,Analyst,3,77433,1,0,0,25,30.91666667,0,0,0,0.384615385,-0.592216756,-0.274589489,-0.131121808,0.13013921
01-06-2021,10005,33,0,PUN,2,Corporate Banking,51447,03-04-2019,,Analyst,3,72974,2,1,0,26,30.83333333,1,0,0,0.37037037,-0.592216756,-0.274589489,-0.05925531,0.058627583
01-07-2021,10005,33,0,PUN,2,Corporate Banking,51447,03-04-2019,,Analyst,3,68593,4,0,0,27,30.75,1,0,0,0.357142857,-0.592216756,-0.274589489,0.012611188,-0.011633112
01-08-2021,10005,33,0,PUN,2,Corporate Banking,51447,03-04-2019,,Analyst,3,132263,2,0,0,28,30.66666667,0,0,0,0.344827586,-0.592216756,-0.274589489,0.084477687,1.009480432
01-09-2021,10005,33,0,PUN,2,Corporate Banking,51447,03-04-2019,,Analyst,3,96259,2,0,0,29,30.58333333,0,0,0,0.333333333,-0.592216756,-0.274589489,0.156344185,0.432062935
01-10-2021,10005,33,0,PUN,2,Corporate Banking,51447,03-04-2019,,Analyst,3,100028,3,0,0,30,30.5,1,0,0,0.322580645,-0.592216756,-0.274589489,0.228210684,0.492508623
01-11-2021,10005,33,0,PUN,2,Corporate Banking,51447,03-04-2019,,Analyst,3,88240,3,1,0,31,30.41666667,0,0,0,0.3125,-0.592216756,-0.274589489,0.300077182,0.303457477
01-12-2021,10005,33,0,PUN,2,Corporate Banking,51447,03-04-2019,,Analyst,3,139295,1,1,0,32,30.33333333,0,0,0,0.303030303,-0.592216756,-0.274589489,0.371943681,1.122256786
01-01-2022,10005,33,0,PUN,2,Corporate Banking,51447,03-04-2019,,Analyst,3,121104,4,1,0,33,30.25,1,0,0,0.294117647,-0.592216756,-0.274589489,0.443810179,0.830516932
01-02-2022,10005,33,0,PUN,2,Corporate Banking,51447,03-04-2019,,Analyst,3,161563,3,0,0,34,30.16666667,0,0,0,0.285714286,-0.592216756,-0.274589489,0.515676678,1.479381906
01-03-2022,10005,33,0,PUN,2,Corporate Banking,51447,03-04-2019,,Analyst,3,222150,2,0,0,35,30.08333333,0,0,0,0.277777778,-0.592216756,-0.274589489,0.587543176,2.451051551
01-04-2022,10005,33,0,PUN,2,Corporate Banking,51447,03-04-2019,,Analyst,3,217911,3,1,0,36,30,1,0,0,0.27027027,-0.592216756,-0.274589489,0.659409674,2.383068195
01-05-2022,10005,33,0,PUN,2,Corporate Banking,51447,03-04-2019,,Analyst,3,229083,2,0,0,37,29.91666667,0,0,0,0.263157895,-0.592216756,-0.274589489,0.731276173,2.562240183
01-06-2022,10005,33,0,PUN,2,Corporate Banking,51447,03-04-2019,,Analyst,3,153182,3,1,0,38,29.83333333,1,0,0,0.256410256,-0.592216756,-0.274589489,0.803142671,1.34497084
01-07-2022,10005,33,0,PUN,2,Corporate Banking,51447,03-04-2019,,Analyst,3,105088,3,0,0,39,29.75,0,0,0,0.25,-0.592216756,-0.274589489,0.87500917,0.573658843
01-08-2022,10005,33,0,PUN,2,Corporate Banking,51447,03-04-2019,,Analyst,3,128421,4,1,0,40,29.66666667,1,0,0,0.243902439,-0.592216756,-0.274589489,0.946875668,0.947864
01-09-2022,10005,33,0,PUN,2,Corporate Banking,51447,03-04-2019,,Analyst,3,52968,1,0,0,41,29.58333333,0,0,0,0.238095238,-0.592216756,-0.274589489,1.018742167,-0.262220502
01-10-2022,10005,33,0,PUN,2,Corporate Banking,51447,03-04-2019,,Analyst,3,138599,3,0,0,42,29.5,1,0,0,0.23255814,-0.592216756,-0.274589489,1.090608665,1.111094621
01-11-2022,10005,33,0,PUN,2,Corporate Banking,51447,03-04-2019,,Analyst,3,193138,3,0,0,43,29.41666667,0,0,0,0.227272727,-0.592216756,-0.274589489,1.162475163,1.985768904
01-12-2022,10005,33,0,PUN,2,Corporate Banking,51447,03-04-2019,,Analyst,3,128615,1,1,0,44,29.33333333,0,0,0,0.222222222,-0.592216756,-0.274589489,1.234341662,0.950975293
01-01-2021,10006,30,0,BLR,2,Corporate Banking,52277,13-10-2018,26-05-2021,Deputy Manager,3,165582,1,1,1,27,27.75,0,0,0,0.142857143,-0.899775163,-0.224157461,0.012611188,1.543836992
01-02-2021,10006,30,0,BLR,2,Corporate Banking,52277,13-10-2018,26-05-2021,Deputy Manager,3,145176,3,1,1,28,27.66666667,1,0,0,0.137931034,-0.899775163,-0.224157461,0.084477687,1.21657387
01-03-2021,10006,30,0,BLR,2,Corporate Banking,52277,13-10-2018,26-05-2021,Deputy Manager,3,196767,2,0,1,29,27.58333333,0,0,0,0.133333333,-0.899775163,-0.224157461,0.156344185,2.043969329
01-04-2021,10006,30,0,BLR,2,Corporate Banking,52277,13-10-2018,26-05-2021,Deputy Manager,3,155012,4,1,1,30,27.5,1,0,0,0.129032258,-0.899775163,-0.224157461,0.228210684,1.374319635
01-05-2021,10006,30,0,BLR,2,Corporate Banking,52277,13-10-2018,26-05-2021,Deputy Manager,3,154791,3,1,1,31,27.41666667,0,0,0,0.125,-0.899775163,-0.224157461,0.300077182,1.370775327
01-01-2021,10007,51,1,AHM,2,Operations,51491,29-07-2018,,Senior Analyst,3,47111,2,1,0,30,48.5,0,0,0,0.451612903,1.253133689,-0.271915984,0.228210684,-0.356152684
01-02-2021,10007,51,1,AHM,2,Operations,51491,29-07-2018,,Senior Analyst,3,51412,4,0,0,31,48.41666667,1,0,0,0.4375,1.253133689,-0.271915984,0.300077182,-0.287174997
01-03-2021,10007,51,1,AHM,2,Operations,51491,29-07-2018,,Senior Analyst,3,37228,2,0,0,32,48.33333333,0,0,0,0.424242424,1.253133689,-0.271915984,0.371943681,-0.514652215
01-04-2021,10007,51,1,AHM,2,Operations,51491,29-07-2018,,Senior Analyst,3,41447,1,0,0,33,48.25,0,0,0,0.411764706,1.253133689,-0.271915984,0.443810179,-0.44698961
01-05-2021,10007,51,1,AHM,2,Operations,51491,29-07-2018,,Senior Analyst,3,-7396,3,1,0,34,48.16666667,1,0,0,0.4,1.253133689,-0.271915984,0.515676678,-1.230313764
01-06-2021,10007,51,1,AHM,2,Operations,51491,29-07-2018,,Senior Analyst,3,24337,1,1,0,35,48.08333333,0,0,0,0.388888889,1.253133689,-0.271915984,0.587543176,-0.721392826
01-07-2021,10007,51,1,AHM,2,Operations,51491,29-07-2018,,Senior Analyst,3,5810,3,1,0,36,48,1,0,0,0.378378378,1.253133689,-0.271915984,0.659409674,-1.018521311
01-08-2021,10007,51,1,AHM,2,Operations,51491,29-07-2018,,Senior Analyst,3,-18057,3,0,0,37,47.91666667,0,0,0,0.368421053,1.253133689,-0.271915984,0.731276173,-1.401290542
01-09-2021,10007,51,1,AHM,2,Operations,51491,29-07-2018,,Senior Analyst,3,50974,2,1,0,38,47.83333333,0,0,0,0.358974359,1.253133689,-0.271915984,0.803142671,-0.294199462
01-10-2021,10007,51,1,AHM,2,Operations,51491,29-07-2018,,Senior Analyst,4,20328,4,1,0,39,47.75,1,0,1,0.35,1.253133689,-0.271915984,0.87500917,-0.785687536
01-11-2021,10007,51,1,AHM,2,Operations,55703.72842,29-07-2018,,Senior Analyst,4,39824,2,1,0,40,47.66666667,0,1,1,0.341463415,1.253133689,-0.015944375,0.946875668,-0.473018624
01-12-2021,10007,51,1,AHM,2,Operations,51491,29-07-2018,,Senior Analyst,4,-27396,2,0,0,41,47.58333333,0,0,1,0.333333333,1.253133689,-0.271915984,1.018742167,-1.551065623
01-01-2022,10007,51,1,AHM,2,Operations,51491,29-07-2018,,Senior Analyst,4,56366,1,1,0,42,47.5,0,0,1,0.325581395,1.253133689,-0.271915984,1.090608665,-0.207724761
01-02-2022,10007,51,1,AHM,2,Operations,51491,29-07-2018,,Senior Analyst,4,21770,2,0,0,43,47.41666667,1,0,1,0.318181818,1.253133689,-0.271915984,1.162475163,-0.762561327
01-03-2022,10007,51,1,AHM,2,Operations,51491,29-07-2018,,Senior Analyst,4,29248,2,1,0,44,47.33333333,0,0,1,0.311111111,1.253133689,-0.271915984,1.234341662,-0.642632207
01-04-2022,10007,51,1,AHM,2,Operations,51491,29-07-2018,,Senior Analyst,4,-20413,1,1,0,45,47.25,0,0,1,0.304347826,1.253133689,-0.271915984,1.30620816,-1.439075111
01-05-2022,10007,51,1,AHM,2,Operations,51491,29-07-2018,,Senior Analyst,4,49030,3,0,0,46,47.16666667,1,0,1,0.29787234,1.253133689,-0.271915984,1.378074659,-0.325376543
01-06-2022,10007,51,1,AHM,2,Operations,51491,29-07-2018,,Senior Analyst,4,-17323,1,1,0,47,47.08333333,0,0,1,0.291666667,1.253133689,-0.271915984,1.449941157,-1.389518949
01-07-2022,10007,51,1,AHM,2,Operations,51491,29-07-2018,,Senior Analyst,4,-12544,3,0,0,48,47,1,0,1,0.285714286,1.253133689,-0.271915984,1.521807656,-1.312875292
01-08-2022,10007,51,1,AHM,2,Operations,51491,29-07-2018,,Senior Analyst,4,17943,2,0,0,49,46.91666667,0,0,1,0.28,1.253133689,-0.271915984,1.593674154,-0.823937196
01-09-2022,10007,51,1,AHM,2,Operations,51491,29-07-2018,,Senior Analyst,4,39400,3,0,0,50,46.83333333,1,0,1,0.274509804,1.253133689,-0.271915984,1.665540653,-0.479818563
01-10-2022,10007,51,1,AHM,2,Operations,51491,29-07-2018,,Senior Analyst,4,15756,2,1,0,51,46.75,0,0,1,0.269230769,1.253133689,-0.271915984,1.737407151,-0.859011411
01-11-2022,10007,51,1,AHM,2,Operations,51491,29-07-2018,,Senior Analyst,4,12067,2,1,0,52,46.66666667,0,0,1,0.264150943,1.253133689,-0.271915984,1.809273649,-0.918174092
01-12-2022,10007,51,1,AHM,2,Operations,51491,29-07-2018,,Senior Analyst,4,22615,3,1,0,53,46.58333333,1,0,1,0.259259259,1.253133689,-0.271915984,1.881140148,-0.749009561
01-01-2021,10008,43,1,DEL,2,Operations,75407,21-01-2021,,Deputy Manager,1,-9614,1,1,0,0,43,0,0,0,7,0.432977936,1.181255545,-1.927784269,-1.265885145
01-02-2021,10008,43,1,DEL,2,Operations,75407,21-01-2021,,Deputy Manager,1,5251,1,0,0,1,42.91666667,0,0,0,3.5,0.432977936,1.181255545,-1.855917771,-1.027486326
01-03-2021,10008,43,1,DEL,2,Operations,75407,21-01-2021,,Deputy Manager,1,56572,2,1,0,2,42.83333333,1,0,0,2.333333333,0.432977936,1.181255545,-1.784051273,-0.204421017
01-04-2021,10008,43,1,DEL,2,Operations,75407,21-01-2021,,Deputy Manager,1,17869,3,1,0,3,42.75,1,0,0,1.75,0.432977936,1.181255545,-1.712184774,-0.825123977
